	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	ErrorCorrelation_6_38vs7_35	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	ErrorCorrelation_38_6vs7_6	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	Final208_206	Final208_206_Int2SE	ExtraMetaData
SB21_31	VPXIISB21_31.FIN2	08/09/2013 (1) 04:59:59.00	08/09/2013 (1)	04:59:59.00	22.986	VPXIISB21_31.FIN2	13.25	0.13	0.86	0.5299	0.0048	0.024	0.67345	1.887149	0.08547191	0.1817	0.0013	0.0076	0.27785	0.1396	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB21_31.FIN2
SB21_32	VPXIISB21_32.FIN2	08/09/2013 (1) 05:01:20.00	08/09/2013 (1)	05:01:20.00	22.985	VPXIISB21_32.FIN2	2.45	0.13	0.20	0.2057	0.0091	0.013	0.8975	4.861449	0.3072379	0.0849	0.0016	0.0038	-0.27436	0.0780	0.0080	no value	NAN	no value	NAN	FILENAME: VPXIISB21_32.FIN2
SB21_33	VPXIISB21_33.FIN2	08/09/2013 (1) 05:02:40.00	08/09/2013 (1)	05:02:40.00	22.986	VPXIISB21_33.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_33.FIN2
SB21_34	VPXIISB21_34.FIN2	08/09/2013 (1) 05:04:01.00	08/09/2013 (1)	05:04:01.00	22.985	VPXIISB21_34.FIN2	3.600	0.040	0.23	0.2771	0.0024	0.013	0.55789	3.608805	0.1693052	0.09429	0.00091	0.0040	0.24704	0.0792	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB21_34.FIN2
SB21_35	VPXIISB21_35.FIN2	08/09/2013 (1) 05:05:22.00	08/09/2013 (1)	05:05:22.00	22.986	VPXIISB21_35.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_35.FIN2
																										
Z_Temora2_1	R33_1.FIN2	08/09/2013 (1) 00:58:17.00	08/09/2013 (1)	00:58:17.00	22.985	R33_1.FIN2	0.5256	0.0077	0.034	0.06747	0.00056	0.0031	0.25189	14.8214	0.6809893	0.05752	0.00085	0.0025	0.32843	0.02143	0.00024	no value	NAN	no value	NAN	FILENAME: R33_1.FIN2
Z_Temora2_2	R33_2.FIN2	08/09/2013 (1) 00:59:38.00	08/09/2013 (1)	00:59:38.00	22.986	R33_2.FIN2	0.449	0.024	0.037	0.0670	0.0011	0.0032	0.050263	14.92537	0.7128536	0.0493	0.0026	0.0033	0.27822	0.01999	0.00082	no value	NAN	no value	NAN	FILENAME: R33_2.FIN2
Z_Temora2_3	R33_3.FIN2	08/09/2013 (1) 01:00:58.00	08/09/2013 (1)	01:00:58.00	22.985	R33_3.FIN2	0.513	0.018	0.037	0.0677	0.0010	0.0032	0.051376	14.77105	0.6981884	0.0561	0.0022	0.0032	0.35842	0.02106	0.00071	no value	NAN	no value	NAN	FILENAME: R33_3.FIN2
Z_Temora2_4	R33_4.FIN2	08/09/2013 (1) 01:02:19.00	08/09/2013 (1)	01:02:19.00	22.985	R33_4.FIN2	0.489	0.017	0.036	0.06612	0.00088	0.0031	0.16986	15.12402	0.7090813	0.0540	0.0019	0.0029	0.2361	0.01966	0.00055	no value	NAN	no value	NAN	FILENAME: R33_4.FIN2
Z_Temora2_5	R33_5.FIN2	08/09/2013 (1) 01:09:03.00	08/09/2013 (1)	01:09:03.00	22.986	R33_5.FIN2	0.4956	0.0074	0.033	0.06472	0.00070	0.0030	0.38351	15.45117	0.7162164	0.05505	0.00086	0.0024	0.29298	0.02028	0.00030	no value	NAN	no value	NAN	FILENAME: R33_5.FIN2
Z_Temora2_6	R33_6.FIN2	08/09/2013 (1) 01:10:24.00	08/09/2013 (1)	01:10:24.00	22.985	R33_6.FIN2	0.505	0.018	0.037	0.0672	0.0011	0.0032	0.33663	14.88095	0.7086168	0.0547	0.0019	0.0029	0.19461	0.02196	0.00059	no value	NAN	no value	NAN	FILENAME: R33_6.FIN2
Z_Temora2_7	R33_7.FIN2	08/09/2013 (1) 01:18:30.00	08/09/2013 (1)	01:18:30.00	22.985	R33_7.FIN2	0.507	0.019	0.038	0.0670	0.0012	0.0032	0.33609	14.92537	0.7128536	0.0541	0.0019	0.0029	0.21478	0.02128	0.00067	no value	NAN	no value	NAN	FILENAME: R33_7.FIN2
Z_Temora2_8	R33_8.FIN2	08/09/2013 (1) 01:26:37.00	08/09/2013 (1)	01:26:37.00	22.986	R33_8.FIN2	0.519	0.014	0.036	0.0663	0.0012	0.0032	0.28263	15.08296	0.7279858	0.0557	0.0016	0.0028	0.32443	0.02159	0.00064	no value	NAN	no value	NAN	FILENAME: R33_8.FIN2
Z_Temora2_9	R33_9.FIN2	08/09/2013 (1) 01:36:05.00	08/09/2013 (1)	01:36:05.00	22.986	R33_9.FIN2	0.506	0.013	0.035	0.06716	0.00072	0.0031	0.24906	14.88982	0.6872905	0.0532	0.0013	0.0025	0.17579	0.02063	0.00053	no value	NAN	no value	NAN	FILENAME: R33_9.FIN2
Z_Temora2_10	R33_10.FIN2	08/09/2013 (1) 01:44:12.00	08/09/2013 (1)	01:44:12.00	22.986	R33_10.FIN2	0.519	0.014	0.036	0.06719	0.00080	0.0031	0.26127	14.88317	0.6866769	0.0547	0.0014	0.0027	0.16213	0.02114	0.00038	no value	NAN	no value	NAN	FILENAME: R33_10.FIN2
Z_Temora2_11	R33_11.FIN2	08/09/2013 (1) 01:53:39.00	08/09/2013 (1)	01:53:39.00	22.986	R33_11.FIN2	0.504	0.016	0.036	0.06694	0.00079	0.0031	0.088938	14.93875	0.6918155	0.0543	0.0018	0.0029	0.29675	0.02110	0.00054	no value	NAN	no value	NAN	FILENAME: R33_11.FIN2
Z_Temora2_12	R33_12.FIN2	08/09/2013 (1) 02:01:46.00	08/09/2013 (1)	02:01:46.00	22.986	R33_12.FIN2	0.516	0.015	0.036	0.06620	0.00091	0.0031	0.24056	15.10574	0.7073685	0.0558	0.0016	0.0028	0.27021	0.02081	0.00048	no value	NAN	no value	NAN	FILENAME: R33_12.FIN2
Z_Temora2_13	R33_13.FIN2	08/09/2013 (1) 02:11:13.00	08/09/2013 (1)	02:11:13.00	22.986	R33_13.FIN2	0.496	0.010	0.033	0.06648	0.00074	0.0031	0.16647	15.04212	0.7014225	0.0539	0.0012	0.0025	0.33292	0.02101	0.00040	no value	NAN	no value	NAN	FILENAME: R33_13.FIN2
Z_Temora2_14	R33_14.FIN2	08/09/2013 (1) 02:19:19.00	08/09/2013 (1)	02:19:19.00	22.986	R33_14.FIN2	0.522	0.015	0.036	0.06689	0.00084	0.0031	0.18942	14.94992	0.6928501	0.0567	0.0017	0.0029	0.24513	0.02086	0.00053	no value	NAN	no value	NAN	FILENAME: R33_14.FIN2
Z_Temora2_15	R33_15.FIN2	08/09/2013 (1) 02:28:48.00	08/09/2013 (1)	02:28:48.00	22.986	R33_15.FIN2	0.510	0.018	0.037	0.06623	0.00098	0.0031	0.17878	15.0989	0.7067278	0.0561	0.0020	0.0031	0.25371	0.02078	0.00063	no value	NAN	no value	NAN	FILENAME: R33_15.FIN2
Z_Temora2_16	R33_16.FIN2	08/09/2013 (1) 02:36:54.00	08/09/2013 (1)	02:36:54.00	22.985	R33_16.FIN2	0.504	0.015	0.035	0.06722	0.00090	0.0031	0.17259	14.87652	0.6860641	0.0540	0.0017	0.0028	0.19794	0.02113	0.00042	no value	NAN	no value	NAN	FILENAME: R33_16.FIN2
Z_Temora2_17	R33_18.FIN2	08/09/2013 (1) 02:54:27.00	08/09/2013 (1)	02:54:27.00	22.986	R33_18.FIN2	0.506	0.010	0.034	0.06668	0.00072	0.0031	0.33684	14.997	0.6972211	0.0549	0.0011	0.0025	0.16209	0.02087	0.00032	no value	NAN	no value	NAN	FILENAME: R33_18.FIN2
Z_Temora2_18	R33_19.FIN2	08/09/2013 (1) 03:03:54.00	08/09/2013 (1)	03:03:54.00	22.986	R33_19.FIN2	0.511	0.017	0.037	0.06636	0.00095	0.0031	0.21002	15.06932	0.7039616	0.0564	0.0019	0.0030	0.17415	0.02094	0.00055	no value	NAN	no value	NAN	FILENAME: R33_19.FIN2
Z_Temora2_19	R33_20.FIN2	08/09/2013 (1) 03:12:01.00	08/09/2013 (1)	03:12:01.00	22.986	R33_20.FIN2	0.508	0.011	0.034	0.06703	0.00072	0.0031	0.21353	14.91869	0.689959	0.0550	0.0012	0.0026	0.23779	0.02116	0.00043	no value	NAN	no value	NAN	FILENAME: R33_20.FIN2
Z_Temora2_20	R33_21.FIN2	08/09/2013 (1) 03:21:28.00	08/09/2013 (1)	03:21:28.00	22.985	R33_21.FIN2	0.506	0.020	0.038	0.0654	0.0012	0.0032	0.045259	15.29052	0.74816	0.0569	0.0024	0.0033	0.38514	0.02020	0.00069	no value	NAN	no value	NAN	FILENAME: R33_21.FIN2
Z_Temora2_21	R33_22.FIN2	08/09/2013 (1) 03:29:35.00	08/09/2013 (1)	03:29:35.00	22.985	R33_22.FIN2	0.5072	0.0094	0.034	0.06690	0.00056	0.0031	0.39234	14.94768	0.692643	0.05518	0.00088	0.0024	0.079002	0.02104	0.00023	no value	NAN	no value	NAN	FILENAME: R33_22.FIN2
Z_Temora2_22	R33_23.FIN2	08/09/2013 (1) 03:39:02.00	08/09/2013 (1)	03:39:02.00	22.986	R33_23.FIN2	0.515	0.014	0.036	0.06680	0.00079	0.0031	0.091105	14.97006	0.6947183	0.0560	0.0017	0.0028	0.32834	0.02089	0.00040	no value	NAN	no value	NAN	FILENAME: R33_23.FIN2
Z_Temora2_23	R33_24.FIN2	08/09/2013 (1) 03:47:08.00	08/09/2013 (1)	03:47:08.00	22.985	R33_24.FIN2	0.498	0.021	0.038	0.0669	0.0011	0.0032	0.17789	14.94768	0.7149863	0.0531	0.0022	0.0031	0.27229	0.02126	0.00081	no value	NAN	no value	NAN	FILENAME: R33_24.FIN2
Z_Temora2_24	R33_25.FIN2	08/09/2013 (1) 03:56:35.00	08/09/2013 (1)	03:56:35.00	22.986	R33_25.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: R33_25.FIN2
Z_Temora2_25	R33_26.FIN2	08/09/2013 (1) 04:04:41.00	08/09/2013 (1)	04:04:41.00	22.986	R33_26.FIN2	0.497	0.019	0.037	0.06541	0.00091	0.0031	0.26945	15.28818	0.7245584	0.0555	0.0020	0.0031	0.10816	0.02048	0.00054	no value	NAN	no value	NAN	FILENAME: R33_26.FIN2
Z_Temora2_26	R33_47.FIN2	08/09/2013 (1) 04:14:08.00	08/09/2013 (1)	04:14:08.00	22.986	R33_47.FIN2	0.507	0.016	0.036	0.06778	0.00088	0.0032	0.074951	14.75361	0.6965413	0.0539	0.0018	0.0028	0.28234	0.02123	0.00053	no value	NAN	no value	NAN	FILENAME: R33_47.FIN2
Z_Temora2_27	R33_48.FIN2	08/09/2013 (1) 04:22:14.00	08/09/2013 (1)	04:22:14.00	22.986	R33_48.FIN2	0.524	0.015	0.037	0.06706	0.00078	0.0031	0.3741	14.91202	0.6893418	0.0561	0.0015	0.0027	0.047329	0.02106	0.00041	no value	NAN	no value	NAN	FILENAME: R33_48.FIN2
Z_Temora2_28	R33_49.FIN2	08/09/2013 (1) 04:31:40.00	08/09/2013 (1)	04:31:40.00	22.986	R33_49.FIN2	0.489	0.016	0.035	0.06610	0.00084	0.0031	0.1256	15.12859	0.7095104	0.0525	0.0017	0.0028	0.25463	0.02060	0.00045	no value	NAN	no value	NAN	FILENAME: R33_49.FIN2
Z_Temora2_29	R33_50.FIN2	08/09/2013 (1) 04:39:46.00	08/09/2013 (1)	04:39:46.00	22.985	R33_50.FIN2	0.504	0.016	0.036	0.0656	0.0010	0.0031	0.32671	15.2439	0.7203673	0.0554	0.0018	0.0029	0.20014	0.02122	0.00058	no value	NAN	no value	NAN	FILENAME: R33_50.FIN2
Z_Temora2_30	R33_51.FIN2	08/09/2013 (1) 04:49:12.00	08/09/2013 (1)	04:49:12.00	22.986	R33_51.FIN2	0.525	0.021	0.040	0.0689	0.0013	0.0034	0.083026	14.51379	0.7162102	0.0546	0.0024	0.0032	0.35529	0.02146	0.00064	no value	NAN	no value	NAN	FILENAME: R33_51.FIN2
Z_Temora2_31	R33_52.FIN2	08/09/2013 (1) 04:57:16.00	08/09/2013 (1)	04:57:16.00	22.986	R33_52.FIN2	0.528	0.019	0.039	0.0678	0.0011	0.0032	0.27288	14.74926	0.6961304	0.0564	0.0020	0.0031	0.15893	0.02115	0.00072	no value	NAN	no value	NAN	FILENAME: R33_52.FIN2
Z_Temora2_32	R33_66.FIN2	08/09/2013 (1) 05:06:43.00	08/09/2013 (1)	05:06:43.00	22.986	R33_66.FIN2	0.495	0.011	0.033	0.06579	0.00074	0.0030	0.27639	15.19988	0.6931089	0.0553	0.0012	0.0025	0.21147	0.02076	0.00033	no value	NAN	no value	NAN	FILENAME: R33_66.FIN2
Z_Temora2_33	R33_68.FIN2	08/09/2013 (1) 05:10:46.00	08/09/2013 (1)	05:10:46.00	22.985	R33_68.FIN2	0.513	0.014	0.036	0.06732	0.00096	0.0032	0.10974	14.85443	0.7060928	0.0563	0.0017	0.0029	0.38583	0.02149	0.00063	no value	NAN	no value	NAN	FILENAME: R33_68.FIN2
Z_Temora2_34	R33_69.FIN2	08/09/2013 (1) 05:12:06.00	08/09/2013 (1)	05:12:06.00	22.986	R33_69.FIN2	0.515	0.019	0.038	0.0668	0.0010	0.0032	0.18419	14.97006	0.7171286	0.0572	0.0021	0.0032	0.25212	0.02081	0.00064	no value	NAN	no value	NAN	FILENAME: R33_69.FIN2
																										
