	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	ErrorCorrelation_6_38vs7_35	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	ErrorCorrelation_38_6vs7_6	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	Final208_206	Final208_206_Int2SE	ExtraMetaData
SB18_9	VPXIISB18_9.FIN2	08/09/2013 (1) 01:23:54.00	08/09/2013 (1)	01:23:54.00	22.985	VPXIISB18_9.FIN2	13.75	0.14	0.89	0.5486	0.0053	0.025	0.86698	1.822822	0.08306698	0.18065	0.00093	0.0075	0.14988	0.1462	0.0020	no value	NAN	no value	NAN	FILENAME: VPXIISB18_9.FIN2
SB18_10	VPXIISB18_10.FIN2	08/09/2013 (1) 01:25:15.00	08/09/2013 (1)	01:25:15.00	22.986	VPXIISB18_10.FIN2	11.84	0.13	0.77	0.5072	0.0044	0.023	0.68299	1.971609	0.08940655	0.1684	0.0013	0.0070	0.24674	0.1353	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_10.FIN2
SB18_11	VPXIISB18_11.FIN2	08/09/2013 (1) 01:29:21.00	08/09/2013 (1)	01:29:21.00	22.986	VPXIISB18_11.FIN2	6.63	0.12	0.44	0.3813	0.0051	0.018	0.60317	2.622607	0.1238052	0.1233	0.0018	0.0053	0.20074	0.1128	0.0023	no value	NAN	no value	NAN	FILENAME: VPXIISB18_11.FIN2
SB18_12	VPXIISB18_12.FIN2	08/09/2013 (1) 01:30:41.00	08/09/2013 (1)	01:30:41.00	22.985	VPXIISB18_12.FIN2	14.36	0.18	0.94	0.5426	0.0062	0.025	0.75301	1.842978	0.08491422	0.1884	0.0016	0.0079	0.2785	0.1508	0.0027	no value	NAN	no value	NAN	FILENAME: VPXIISB18_12.FIN2
SB18_13	VPXIISB18_13.FIN2	08/09/2013 (1) 01:32:02.00	08/09/2013 (1)	01:32:02.00	22.986	VPXIISB18_13.FIN2	5.649	0.072	0.37	0.3484	0.0031	0.016	0.56494	2.870264	0.1318147	0.1156	0.0012	0.0049	0.17476	0.0995	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_13.FIN2
SB18_14	VPXIISB18_14.FIN2	08/09/2013 (1) 01:33:22.00	08/09/2013 (1)	01:33:22.00	22.986	VPXIISB18_14.FIN2	5.914	0.095	0.39	0.3580	0.0040	0.017	0.41756	2.793296	0.1326426	0.1169	0.0018	0.0051	0.29827	0.1033	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_14.FIN2
SB18_15	VPXIISB18_16.FIN2	08/09/2013 (1) 01:37:26.00	08/09/2013 (1)	01:37:26.00	22.986	VPXIISB18_16.FIN2	6.270	0.066	0.41	0.3803	0.0034	0.017	0.59336	2.629503	0.1175429	0.11668	0.00098	0.0049	0.2958	0.1042	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_16.FIN2
SB18_16	VPXIISB18_17.FIN2	08/09/2013 (1) 01:38:47.00	08/09/2013 (1)	01:38:47.00	22.986	VPXIISB18_17.FIN2	3.71	0.11	0.26	0.2834	0.0045	0.013	0.35339	3.528582	0.1618615	0.0934	0.0026	0.0046	0.25397	0.0872	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_17.FIN2
SB18_17	VPXIISB18_18.FIN2	08/09/2013 (1) 01:40:08.00	08/09/2013 (1)	01:40:08.00	22.986	VPXIISB18_18.FIN2	3.989	0.064	0.26	0.2909	0.0032	0.013	0.42626	3.437607	0.1536229	0.0965	0.0015	0.0042	0.28754	0.0908	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_18.FIN2
SB18_18	VPXIISB18_19.FIN2	08/09/2013 (1) 01:41:29.00	08/09/2013 (1)	01:41:29.00	22.986	VPXIISB18_19.FIN2	11.26	0.57	0.92	0.435	0.020	0.028	0.97373	2.298851	0.147972	0.1809	0.0020	0.0077	-0.38826	0.1411	0.0036	no value	NAN	no value	NAN	FILENAME: VPXIISB18_19.FIN2
